
Altitude profile  (12:45Z -> 14:05Z)

  ground -> FL390  width = 70 cols, each col = 558 ft

  time   alt(ft)   vs(fpm)  gs(kt)  |altitude bar                                                          |
  13:19     18000     -960     312  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                                      |
  13:19     17450     -960     306  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                                       |
  13:20     17000    -1024     302  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                                        |
  13:21     16425     -960     294  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                                         |
  13:21     15950     -960     295  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                                         |
  13:22     15400    -1088     297  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\                                          |
  13:22     14850     -960     289  |\\\\\\\\\\\\\\\\\\\\\\\\\\\                                           |
  13:23     14375     -896     286  |\\\\\\\\\\\\\\\\\\\\\\\\\\                                            |
  13:23     13687    -1024     288  |\\\\\\\\\\\\\\\\\\\\\\\\\                                             |
  13:24     13285    -1002     294  |\\\\\\\\\\\\\\\\\\\\\\\\                                              |
  13:24     12550    -1216     296  |\\\\\\\\\\\\\\\\\\\\\\                                                |
  13:25     11950    -1088     284  |\\\\\\\\\\\\\\\\\\\\\                                                 |
  13:25     11637     -960     277  |\\\\\\\\\\\\\\\\\\\\\                                                 |
  13:26     11225     -992     275  |\\\\\\\\\\\\\\\\\\\\                                                  |
  13:26     10666    -1024     273  |\\\\\\\\\\\\\\\\\\\                                                   |
  13:27     10050    -1504     275  |vvvvvvvvvvvvvvvvvv                                                    |
  13:27      9200    -1611     287  |vvvvvvvvvvvvvvvv                                                      |
  13:28      8492    -1494     290  |\\\\\\\\\\\\\\\                                                       |
  13:28      8037     -260     266  |==============                                                        |
  13:29      8000      -22     246  |==============                                                        |
  13:29      8000       +9     233  |==============                                                        |
  13:30      8000      +12     229  |==============                                                        |
  13:30      7998      -32     241  |==============                                                        |
  13:31      8000      +13     269  |==============                                                        |
  13:31      8000       +0     280  |==============                                                        |
  13:32      8000       -9     266  |==============                                                        |
  13:32      8000      -13     244  |==============                                                        |
  13:33      7892     -608     224  |\\\\\\\\\\\\\\                                                        |
  13:33      7387    -1316     215  |\\\\\\\\\\\\\                                                         |
  13:34      6685    -1421     226  |\\\\\\\\\\\\                                                          |
  13:34      6183     -516     249  |\\\\\\\\\\\                                                           |
  13:35      5973     -406     257  |===========                                                           |
  13:35      5816     -554     252  |\\\\\\\\\\                                                            |
  13:36      5475     -554     243  |\\\\\\\\\\                                                            |
  13:36      5072    -1031     252  |\\\\\\\\\                                                             |
  13:37      4710     -832     250  |\\\\\\\\                                                              |
  13:37      4312     -800     225  |\\\\\\\\                                                              |
  13:38      3928     -728     215  |\\\\\\\                                                               |
  13:38      3651     -694     203  |\\\\\\\                                                               |
  13:39      3425     -416     195  |======                                                                |
  13:39      2928     -996     182  |\\\\\                                                                 |
  13:40      2934    +1437     209  |/////                                                                 |
  13:40      4375    +2453     261  |^^^^^^^^                                                              |
  13:41      4983     +640     262  |/////////                                                             |
  13:41      5075       +0     262  |=========                                                             |
  13:42      5250     +618     263  |/////////                                                             |
